# dye_cost,waste_disposal,LCOW
0.000000e+00,0.000000e+00,2.353907e-02
0.000000e+00,1.111111e+00,8.539727e-01
0.000000e+00,2.222222e+00,1.684406e+00
0.000000e+00,3.333333e+00,2.514840e+00
0.000000e+00,4.444444e+00,3.345274e+00
0.000000e+00,5.555556e+00,4.175707e+00
0.000000e+00,6.666667e+00,5.006141e+00
0.000000e+00,7.777778e+00,5.836574e+00
0.000000e+00,8.888889e+00,6.667008e+00
0.000000e+00,1.000000e+01,7.497442e+00
1.111111e+00,0.000000e+00,-2.571384e-01
1.111111e+00,1.111111e+00,5.732952e-01
1.111111e+00,2.222222e+00,1.403729e+00
1.111111e+00,3.333333e+00,2.234162e+00
1.111111e+00,4.444444e+00,3.064596e+00
1.111111e+00,5.555556e+00,3.895030e+00
1.111111e+00,6.666667e+00,4.725463e+00
1.111111e+00,7.777778e+00,5.555897e+00
1.111111e+00,8.888889e+00,6.386330e+00
1.111111e+00,1.000000e+01,7.216764e+00
2.222222e+00,0.000000e+00,-5.378159e-01
2.222222e+00,1.111111e+00,2.926177e-01
2.222222e+00,2.222222e+00,1.123051e+00
2.222222e+00,3.333333e+00,1.953485e+00
2.222222e+00,4.444444e+00,2.783919e+00
2.222222e+00,5.555556e+00,3.614352e+00
2.222222e+00,6.666667e+00,4.444786e+00
2.222222e+00,7.777778e+00,5.275219e+00
2.222222e+00,8.888889e+00,6.105653e+00
2.222222e+00,1.000000e+01,6.936087e+00
3.333333e+00,0.000000e+00,-8.184934e-01
3.333333e+00,1.111111e+00,1.194018e-02
3.333333e+00,2.222222e+00,8.423738e-01
3.333333e+00,3.333333e+00,1.672807e+00
3.333333e+00,4.444444e+00,2.503241e+00
3.333333e+00,5.555556e+00,3.333675e+00
3.333333e+00,6.666667e+00,4.164108e+00
3.333333e+00,7.777778e+00,4.994542e+00
3.333333e+00,8.888889e+00,5.824975e+00
3.333333e+00,1.000000e+01,6.655409e+00
4.444444e+00,0.000000e+00,-1.099171e+00
4.444444e+00,1.111111e+00,-2.687373e-01
4.444444e+00,2.222222e+00,5.616963e-01
4.444444e+00,3.333333e+00,1.392130e+00
4.444444e+00,4.444444e+00,2.222564e+00
4.444444e+00,5.555556e+00,3.052997e+00
4.444444e+00,6.666667e+00,3.883431e+00
4.444444e+00,7.777778e+00,4.713864e+00
4.444444e+00,8.888889e+00,5.544298e+00
4.444444e+00,1.000000e+01,6.374732e+00
5.555556e+00,0.000000e+00,-1.379848e+00
5.555556e+00,1.111111e+00,-5.494148e-01
5.555556e+00,2.222222e+00,2.810188e-01
5.555556e+00,3.333333e+00,1.111452e+00
5.555556e+00,4.444444e+00,1.941886e+00
5.555556e+00,5.555556e+00,2.772320e+00
5.555556e+00,6.666667e+00,3.602753e+00
5.555556e+00,7.777778e+00,4.433187e+00
5.555556e+00,8.888889e+00,5.263620e+00
5.555556e+00,1.000000e+01,6.094054e+00
6.666667e+00,0.000000e+00,-1.660526e+00
6.666667e+00,1.111111e+00,-8.300923e-01
6.666667e+00,2.222222e+00,3.412877e-04
6.666667e+00,3.333333e+00,8.307749e-01
6.666667e+00,4.444444e+00,1.661209e+00
6.666667e+00,5.555556e+00,2.491642e+00
6.666667e+00,6.666667e+00,3.322076e+00
6.666667e+00,7.777778e+00,4.152509e+00
6.666667e+00,8.888889e+00,4.982943e+00
6.666667e+00,1.000000e+01,5.813377e+00
7.777778e+00,0.000000e+00,-1.941203e+00
7.777778e+00,1.111111e+00,-1.110770e+00
7.777778e+00,2.222222e+00,-2.803362e-01
7.777778e+00,3.333333e+00,5.500974e-01
7.777778e+00,4.444444e+00,1.380531e+00
7.777778e+00,5.555556e+00,2.210965e+00
7.777778e+00,6.666667e+00,3.041398e+00
7.777778e+00,7.777778e+00,3.871832e+00
7.777778e+00,8.888889e+00,4.702265e+00
7.777778e+00,1.000000e+01,5.532699e+00
8.888889e+00,0.000000e+00,-2.221881e+00
8.888889e+00,1.111111e+00,-1.391447e+00
8.888889e+00,2.222222e+00,-5.610137e-01
8.888889e+00,3.333333e+00,2.694199e-01
8.888889e+00,4.444444e+00,1.099854e+00
8.888889e+00,5.555556e+00,1.930287e+00
8.888889e+00,6.666667e+00,2.760721e+00
8.888889e+00,7.777778e+00,3.591154e+00
8.888889e+00,8.888889e+00,4.421588e+00
8.888889e+00,1.000000e+01,5.252022e+00
1.000000e+01,0.000000e+00,-2.502558e+00
1.000000e+01,1.111111e+00,-1.672125e+00
1.000000e+01,2.222222e+00,-8.416912e-01
1.000000e+01,3.333333e+00,-1.125760e-02
1.000000e+01,4.444444e+00,8.191760e-01
1.000000e+01,5.555556e+00,1.649610e+00
1.000000e+01,6.666667e+00,2.480043e+00
1.000000e+01,7.777778e+00,3.310477e+00
1.000000e+01,8.888889e+00,4.140910e+00
1.000000e+01,1.000000e+01,4.971344e+00
